frac,seed,n_train_complexes,tau,top1
0.25,0,63,0.1801169590643275,4.171316666666666
0.25,1,63,0.19239766081871343,4.132949999999999
0.25,2,63,0.21578947368421053,4.247672222222222
0.5,0,126,0.1985380116959064,4.247352777777777
0.5,1,126,0.23859649122807017,4.097283333333333
0.5,2,126,0.24444444444444446,4.231097222222221
0.75,0,189,0.2175438596491228,4.349955555555555
0.75,1,189,0.2763157894736842,3.9903416666666667
0.75,2,189,0.21228070175438596,4.315502777777777
1.0,0,253,0.2347953216374269,4.034086111111112
1.0,1,253,0.2742690058479533,4.2398750000000005
1.0,2,253,0.23216374269005854,4.210008333333334
