cat_col,cat_val,config,tau,top1,n_complexes
ss_class,SHEET,bench_only,0.18373205741626794,4.257209090909091,11
ss_class,SHEET,gen_only,0.15502392344497606,4.496227272727273,11
ss_class,SHEET,25B_75G,0.1416267942583732,4.269027272727272,11
ss_class,SHEET,50B_50G,0.15502392344497606,3.6523545454545454,11
ss_class,SHEET,75B_25G,0.2660287081339713,3.593736363636364,11
ss_class,HELIX,bench_only,0.2614035087719298,3.864225,12
ss_class,HELIX,gen_only,0.23245614035087722,3.729241666666667,12
ss_class,HELIX,25B_75G,0.17368421052631577,3.9795083333333334,12
ss_class,HELIX,50B_50G,0.18333333333333335,3.8426666666666667,12
ss_class,HELIX,75B_25G,0.18947368421052632,3.7364499999999996,12
ss_class,UNUSUAL,bench_only,0.3708502024291498,4.4513461538461545,13
ss_class,UNUSUAL,gen_only,0.29230769230769227,4.707546153846153,13
ss_class,UNUSUAL,25B_75G,0.3117408906882591,4.458584615384615,13
ss_class,UNUSUAL,50B_50G,0.31417004048582997,4.351223076923077,13
ss_class,UNUSUAL,75B_25G,0.33360323886639676,4.5410615384615385,13
length_bucket,very_long,bench_only,0.3192982456140351,5.9486888888888885,9
length_bucket,very_long,gen_only,0.24912280701754388,6.003544444444445,9
length_bucket,very_long,25B_75G,0.34619883040935673,5.143088888888888,9
length_bucket,very_long,50B_50G,0.25146198830409355,5.166322222222223,9
length_bucket,very_long,75B_25G,0.32748538011695905,5.398166666666667,9
length_bucket,medium,bench_only,0.3780701754385966,2.815141666666667,12
length_bucket,medium,gen_only,0.29035087719298247,3.1561916666666665,12
length_bucket,medium,25B_75G,0.32982456140350874,2.972383333333333,12
length_bucket,medium,50B_50G,0.39999999999999997,2.8486,12
length_bucket,medium,75B_25G,0.36140350877192984,2.8163916666666666,12
length_bucket,long,bench_only,0.21973684210526317,5.117825,8
length_bucket,long,gen_only,0.10394736842105265,5.1400500000000005,8
length_bucket,long,25B_75G,-0.0052631578947368585,5.8192875,8
length_bucket,long,50B_50G,0.06315789473684214,4.8723375,8
length_bucket,long,75B_25G,0.21052631578947373,4.827225,8
length_bucket,short,bench_only,0.11578947368421051,3.257857142857143,7
length_bucket,short,gen_only,0.24812030075187969,3.1972714285714288,7
length_bucket,short,25B_75G,0.09473684210526316,3.452042857142857,7
length_bucket,short,50B_50G,0.06015037593984962,3.3135714285714286,7
length_bucket,short,75B_25G,0.08120300751879701,3.2006142857142854,7
