complex,tau_conf,tau_ref2015,delta_conf_minus_ref,ss_class,length_bucket
peppcf_3FWB_A_31_51,-0.5263157894736842,0.6,-1.1263157894736842,HELIX,very_long
peppcf_6XE3_B_14_21,-0.5368421052631579,0.39999999999999997,-0.9368421052631579,UNUSUAL,short
peppcf_6Q9J_A_122_129,-0.28421052631578947,0.6,-0.8842105263157894,UNUSUAL,short
peppcf_5I18_A_102_109,-0.4421052631578947,0.39999999999999997,-0.8421052631578947,SHEET,short
peppcf_2G2W_B_79_86,-0.12631578947368421,0.6,-0.7263157894736842,HELIX,short
peppc_4MI8_C,-0.3263157894736842,0.39999999999999997,-0.7263157894736842,HELIX,very_long
peppcf_2H9E_A_37_52,-0.2736842105263158,0.39999999999999997,-0.6736842105263158,UNUSUAL,long
peppc_3HKI_C,-0.22105263157894736,0.39999999999999997,-0.6210526315789473,UNUSUAL,long
peppc_4XO9_B,-0.19999999999999998,0.39999999999999997,-0.6,SHEET,long
peppcf_1H5R_B_241_248,0.031578947368421054,0.6,-0.5684210526315789,HELIX,short
peppc_5G1X_B,0.031578947368421054,0.6,-0.5684210526315789,HELIX,very_long
peppc_4ERY_D,-0.1473684210526316,0.39999999999999997,-0.5473684210526315,SHEET,long
peppc_5N1M_B,0.2631578947368421,0.7999999999999999,-0.5368421052631578,SHEET,long
peppc_5DI7_C,0.11578947368421053,0.6,-0.4842105263157894,HELIX,medium
peppcf_1EEX_C_489_500,0.5578947368421052,0.9999999999999999,-0.44210526315789467,HELIX,medium
peppc_2ADV_B,-0.22105263157894736,0.19999999999999998,-0.42105263157894735,SHEET,very_long
peppcf_7BU0_A_6_13,-0.021052631578947368,0.39999999999999997,-0.42105263157894735,SHEET,short
peppcf_5IZ2_B_59_71,0.38947368421052636,0.7999999999999999,-0.4105263157894736,HELIX,long
peppcf_2HBS_B_109_119,-0.17894736842105263,0.19999999999999998,-0.3789473684210526,HELIX,medium
peppc_6P02_G,0.052631578947368425,0.39999999999999997,-0.34736842105263155,SHEET,very_long
