pdb_id,affinity_type,value,unit,link,experimental_pkd,comp_id,ref_seq_identity,source
2JDO,IC50,230.0,nM,https://www.bindingdb.org/rwd/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=2JDO,6.638,,,
2JDO,IC50,260.0,nM,https://www.bindingdb.org/rwd/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=2JDO,6.585,,,
2P5B,IC50,85000.0,nM,https://www.bindingdb.org/rwd/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=2P5B,4.071,,,
2P5B,IC50,250000.0,nM,https://www.bindingdb.org/rwd/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=2P5B,3.602,,,
2Q8E,IC50,85000.0,nM,https://www.bindingdb.org/rwd/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=2Q8E,4.071,,,
2Q8E,IC50,250000.0,nM,https://www.bindingdb.org/rwd/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=2Q8E,3.602,,,
4DK7,IC50,20.0,nM,https://www.bindingdb.org/rwd/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=4DK7,7.699,,,
4DM6,Kd,5.0,nM,https://www.bindingdb.org/rwd/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=4DM6,8.301,,,
4DM6,Kd,36.0,nM,https://www.bindingdb.org/rwd/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=4DM6,7.444,,,
4DM6,IC50,5.0,nM,https://www.bindingdb.org/rwd/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=4DM6,8.301,,,
4DM6,Ki,5.0,nM,https://www.bindingdb.org/rwd/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=4DM6,8.301,,,
4DM6,IC50,36.0,nM,https://www.bindingdb.org/rwd/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=4DM6,7.444,,,
4DM6,Ki,21.0,nM,https://www.bindingdb.org/rwd/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=4DM6,7.678,,,
4DM6,Ki,5.0,nM,https://www.bindingdb.org/rwd/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=4DM6,8.301,,,
4DM6,Ki,0.5,nM,https://www.bindingdb.org/rwd/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=4DM6,9.301,,,
4DM6,IC50,26.0,nM,https://www.bindingdb.org/rwd/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=4DM6,7.585,,,
4DM6,Kd,26.0,nM,https://www.bindingdb.org/rwd/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=4DM6,7.585,,,
4G1W,IC50,58.0,nM,https://www.bindingdb.org/rwd/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=4G1W,7.237,,,
4G1W,IC50,219.0,nM,https://www.bindingdb.org/rwd/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=4G1W,6.66,,,
5NI5,IC50,16.0,nM,https://www.bindingdb.org/rwd/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=5NI5,7.796,,,
5NI5,Ki,40.0,nM,https://www.bindingdb.org/rwd/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=5NI5,7.398,,,
5NI5,IC50,180.0,nM,https://www.bindingdb.org/rwd/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=5NI5,6.745,,,
5NI5,IC50,10.0,nM,https://www.bindingdb.org/rwd/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=5NI5,8.0,,,
5NI5,IC50,9.0,nM,https://www.bindingdb.org/rwd/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=5NI5,8.046,,,
5NI5,IC50,200.0,nM,https://www.bindingdb.org/rwd/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=5NI5,6.699,,,
