complex,tau_bb,tau_gb,tau_mb,transfer_loss_bb_minus_gb,transfer_loss_bb_minus_mb,ss_class,length_bucket,pep_len
peppc_4ERY_D,-0.10526315789473685,-0.22105263157894736,-0.18947368421052632,0.11578947368421051,0.08421052631578947,SHEET,long,14
peppc_5UA5_B,-0.08421052631578947,0.0,0.09473684210526316,-0.08421052631578947,-0.17894736842105263,HELIX,long,19
peppc_2UZV_A,0.4421052631578947,0.3368421052631579,0.28421052631578947,0.10526315789473684,0.15789473684210525,UNUSUAL,very_long,20
peppc_4N8C_X,0.031578947368421054,-0.2105263157894737,0.042105263157894736,0.24210526315789477,-0.010526315789473682,UNUSUAL,long,15
peppcf_5O74_A_32_39,0.4736842105263158,0.30526315789473685,0.25263157894736843,0.16842105263157897,0.2210526315789474,HELIX,short,8
peppcf_2WM9_A_37_45,0.5894736842105264,-0.1473684210526316,0.6736842105263158,0.736842105263158,-0.0842105263157894,SHEET,medium,9
peppcf_7RX8_A_105_112,-0.10526315789473685,0.12631578947368421,0.021052631578947368,-0.23157894736842105,-0.12631578947368421,SHEET,short,8
peppcf_4UZY_A_7_26,0.4736842105263158,0.08421052631578947,0.4105263157894737,0.38947368421052636,0.06315789473684214,UNUSUAL,very_long,20
peppcf_5AEU_A_23_35,0.3263157894736842,0.5263157894736842,0.23157894736842105,-0.19999999999999996,0.09473684210526317,HELIX,long,13
peppcf_1JYO_E_15_31,0.11578947368421053,-0.19999999999999998,0.06315789473684211,0.3157894736842105,0.05263157894736842,SHEET,long,17
peppc_3MVJ_J,0.4421052631578947,0.45263157894736844,0.4210526315789474,-0.010526315789473717,0.021052631578947323,UNUSUAL,very_long,20
peppcf_2VSS_D_147_154,0.1473684210526316,0.37894736842105264,0.28421052631578947,-0.23157894736842105,-0.13684210526315788,UNUSUAL,short,8
peppcf_6Y0A_A_140_147,-0.37894736842105264,0.031578947368421054,-0.3263157894736842,-0.4105263157894737,-0.05263157894736842,HELIX,short,8
peppc_1ATP_I,0.6000000000000001,0.3473684210526316,0.5684210526315789,0.2526315789473685,0.03157894736842115,UNUSUAL,very_long,20
peppc_4J1V_G,0.19999999999999998,-0.021052631578947368,0.18947368421052632,0.22105263157894736,0.010526315789473661,UNUSUAL,long,15
peppcf_2HBS_B_109_119,0.17894736842105263,0.23157894736842105,0.11578947368421053,-0.05263157894736842,0.06315789473684211,HELIX,medium,11
peppcf_1JZD_C_47_54,0.5052631578947369,0.6842105263157895,0.3473684210526316,-0.17894736842105263,0.15789473684210525,SHEET,short,8
peppcf_2HCJ_B_126_136,-0.052631578947368425,0.3684210526315789,0.052631578947368425,-0.42105263157894735,-0.10526315789473685,HELIX,medium,11
peppc_6P02_G,0.09473684210526316,0.09473684210526316,0.11578947368421053,0.0,-0.021052631578947364,SHEET,very_long,24
peppc_6G86_C,0.5684210526315789,0.631578947368421,0.4631578947368421,-0.06315789473684208,0.10526315789473684,UNUSUAL,medium,11
peppc_7SA3_I,0.2736842105263158,0.3263157894736842,0.30526315789473685,-0.05263157894736842,-0.03157894736842104,HELIX,very_long,27
peppc_5T6W_C,0.18947368421052632,0.38947368421052636,0.1368421052631579,-0.20000000000000004,0.05263157894736842,SHEET,medium,10
peppcf_5NQD_A_121_128,0.1368421052631579,0.28421052631578947,0.12631578947368421,-0.14736842105263157,0.01052631578947369,SHEET,short,8
peppc_5H3J_B,-0.11578947368421053,-0.3368421052631579,-0.2736842105263158,0.22105263157894736,0.15789473684210528,SHEET,very_long,21
peppcf_6K6A_A_51_58,0.11578947368421053,0.06315789473684211,-0.30526315789473685,0.05263157894736842,0.42105263157894735,HELIX,short,8
peppcf_5YSU_B_170_178,0.010526315789473684,0.6210526315789474,0.6526315789473685,-0.6105263157894737,-0.6421052631578947,UNUSUAL,medium,9
peppcf_1EEX_C_489_500,0.6631578947368422,0.7578947368421053,0.5789473684210527,-0.09473684210526312,0.08421052631578951,HELIX,medium,12
peppcf_8ENL_D_351_362,0.3684210526315789,0.5684210526315789,0.4421052631578947,-0.2,-0.0736842105263158,HELIX,medium,12
peppc_2OJF_I,0.6210526315789474,0.5157894736842106,0.6210526315789474,0.10526315789473684,0.0,UNUSUAL,very_long,20
peppcf_4WNQ_A_153_161,0.8315789473684211,0.6736842105263158,0.6736842105263158,0.1578947368421053,0.1578947368421053,SHEET,medium,9
peppc_5FGC_A,0.031578947368421054,-0.2631578947368421,0.17894736842105263,0.29473684210526313,-0.1473684210526316,UNUSUAL,medium,9
peppc_6Y89_B,0.6631578947368422,0.39999999999999997,0.5789473684210527,0.2631578947368422,0.08421052631578951,UNUSUAL,long,19
peppc_1YDR_I,0.5894736842105264,0.5578947368421052,0.5368421052631579,0.03157894736842115,0.052631578947368474,UNUSUAL,very_long,20
peppc_5ZWH_C,-0.042105263157894736,0.021052631578947368,0.16842105263157894,-0.06315789473684211,-0.21052631578947367,HELIX,medium,11
peppcf_3WNF_A_42_52,0.042105263157894736,0.2947368421052632,0.09473684210526316,-0.25263157894736843,-0.052631578947368425,HELIX,medium,11
peppc_6OX5_Y,0.5894736842105264,0.6736842105263158,0.6105263157894737,-0.0842105263157894,-0.021052631578947323,SHEET,long,18
